gene_id,Control1_2021,Control2_2021,Hopeaphenol1_2021,Hopeaphenol2_2021
ECA_RS01860,75,90,175,209
ECA_RS01865,122,155,331,361
ECA_RS01870,39,44,100,201
ECA_RS01875,25,11,63,94
ECA_RS01880,550,557,96,101
ECA_RS01885,284,315,352,385
ECA_RS01890,421,455,634,572
ECA_RS01895,817,942,2604,2765
ECA_RS01900,305,307,680,814
ECA_RS01905,130,88,217,298
ECA_RS01910,265,279,382,412
ECA_RS01915,309,241,753,840
ECA_RS01920,298,263,1083,1126
ECA_RS01935,172,220,352,370
ECA_RS01940,250,209,428,494
ECA_RS01945,49,38,180,145
ECA_RS01950,35,83,338,468
ECA_RS01960,1413,1573,707,756
ECA_RS01970,937,819,637,437
ECA_RS01985,498,399,620,675
ECA_RS01990,1239,1172,1189,1285
ECA_RS01995,237,153,197,205
ECA_RS02000,334,283,341,348
ECA_RS02005,255,234,282,296
ECA_RS02010,298,202,550,579
ECA_RS02020,240,191,394,327
ECA_RS02025,307,275,316,240
ECA_RS02035,101,81,145,123
ECA_RS02040,15,11,24,18
ECA_RS02050,18,23,25,14
ECA_RS02055,10,16,9,14
ECA_RS02060,19,19,72,52
ECA_RS02065,6439,5874,5481,4575
ECA_RS02070,176,200,287,353
ECA_RS02090,15,3,6,6
ECA_RS02095,363,382,544,570
ECA_RS02100,210,147,307,315
ECA_RS02105,202,175,263,234
ECA_RS02115,235,289,123,114
ECA_RS02120,29,38,23,33
ECA_RS02140,432,550,448,572
ECA_RS02145,1517,1391,2408,2229
ECA_RS02150,318,389,550,434
ECA_RS02155,131,122,192,151
ECA_RS02160,154,171,393,445
ECA_RS02165,593,717,905,1168
ECA_RS02175,909,764,1524,1717
ECA_RS02180,1249,1557,1072,1184
ECA_RS02185,2258,2848,1533,1353
ECA_RS02190,1199,1336,866,767
ECA_RS02195,1408,1825,2090,2058
ECA_RS02200,235,239,240,289
ECA_RS02205,90,75,156,209
ECA_RS02210,2946,3947,3632,3331
ECA_RS02220,3622,4350,139,154
ECA_RS02235,16,25,72,58
ECA_RS02250,142,147,313,365
ECA_RS02255,61,31,66,76
ECA_RS02265,367,372,695,673
ECA_RS02270,23,38,85,65
ECA_RS02275,117,106,135,118
ECA_RS02280,1187,1190,1273,830
ECA_RS02295,308,347,332,448
ECA_RS02300,3528,3169,11071,10718
ECA_RS02305,15,10,6,2
ECA_RS02310,45,64,14,24
ECA_RS02315,51,56,17,11
ECA_RS02335,710,666,680,772
ECA_RS02345,45,80,116,149
ECA_RS02365,141,116,186,189
ECA_RS02370,551,520,91,107
ECA_RS02385,35,41,341,293
ECA_RS02390,114,119,225,351
ECA_RS02395,2828,4030,5702,6477
ECA_RS02400,856,968,1457,1591
ECA_RS02405,669,522,1234,1089
ECA_RS02410,42,41,58,60
ECA_RS02415,84,86,133,203
ECA_RS02420,26,44,113,105
ECA_RS02425,27,39,82,47
ECA_RS02430,253,228,309,427
ECA_RS02440,529,448,800,822
ECA_RS02445,138,123,206,178
ECA_RS02455,930,990,884,808
ECA_RS02470,25,30,26,16
ECA_RS02485,68,52,43,48
ECA_RS02490,63,94,61,28
ECA_RS02520,67,39,15,9
ECA_RS02525,73,49,51,66
ECA_RS02530,14,13,12,6
ECA_RS02535,104,67,40,45
ECA_RS02540,25,16,11,12
ECA_RS02545,72,63,62,84
ECA_RS02550,58,42,23,40
ECA_RS02555,85,112,48,95
ECA_RS02560,283,207,484,415
ECA_RS02565,512,525,1227,1317
ECA_RS02570,968,1034,2779,3194
ECA_RS02575,55,52,102,118
ECA_RS02585,84,77,66,75
ECA_RS02590,45,30,52,34
ECA_RS02595,515,478,690,723
ECA_RS02600,10,9,27,32
ECA_RS02605,663,766,1841,1813
ECA_RS02620,108,92,180,138
ECA_RS02625,7,0,3,5
ECA_RS02630,20,32,21,20
ECA_RS02635,45,35,47,62
ECA_RS02640,39,23,55,45
ECA_RS02645,129,116,199,180
ECA_RS02650,194,216,175,201
ECA_RS02660,1816,1616,2349,2087
ECA_RS02665,28,40,62,55
ECA_RS02675,38,37,51,41
ECA_RS02700,24,30,73,73
ECA_RS02705,118,119,124,154
